id,data_id,code,production_id,play_id
827,,19940910-futat,251,18
828,,19940910-momij,251,47
829,,19940910-ashiy,251,15
830,,19941105-kanad,252,63
831,,19941206-sanju,253,77
832,,19941206-katsu,253,32
833,,19941206-hidak,253,25
834,,19941206-shinp,254,80
835,,19950103-kotob,255,42
836,,19950103-tamam,255,58
837,,19950103-tsubo,255,60
838,,19950103-koiny,255,38
839,,19950103-koimu,255,37
840,,19950204-heike,256,24
841,,19950204-sonez,256,3
842,,19950204-horik,256,28
843,,19950401-kagam,257,30
844,,19950401-kanji,257,31
845,,19950401-yoshi,257,62
846,,19950513-gion,258,19
847,,19950513-shout,258,57
848,,19950513-narih,258,49
849,,19950729-manda,259,44
850,,19950729-hirak,259,26
851,,19950729-yarin,259,61
852,,19950909-kiich,260,36
853,,19950909-shinr,260,55
854,,19950909-kunik,260,13
855,,19950909-sekit,260,52
856,,19960103-shich,261,53
857,,19960103-ehon,261,16
858,,19960103-akega,261,14
859,,19960103-menur,261,46
860,,19960103-meibo,261,45
861,,19960103-keise,261,35
862,,19960406-gion,262,19
863,,19960406-gishi,262,20
864,,19960406-hidak,262,25
865,,19960406-ashiy,262,15
866,,19960720-sasay,263,175
867,,19960720-utsub,263,176
868,,19960720-iseon,263,104
869,,19960720-keise,263,34
870,,19960720-meido,263,7
871,,19960907-sugaw,264,73
872,,19970103-kotob,265,100
873,,19970103-ichin,265,72
874,,19970103-tsubo,265,60
875,,19970103-kuruw,265,87
876,,19970103-sessh,265,75
877,,19970103-renji,265,50
878,,19970208-komoc,266,41
879,,19970208-shinj,266,54
880,,19970208-futag,266,17
881,,19970208-onna,266,1
882,,19970405-yoshi,267,62
883,,19970906-musum,268,48
884,,19970906-keise,268,33
885,,19970906-kokaj,268,39
886,,19970906-hanan,268,23
887,,19970906-katsu,268,32
888,,19971204-kanad,269,63
889,,19971204-heike,270,24
890,,19980103-gosho,271,66
891,,19980103-somem,271,5
892,,19980103-tsuri,271,70
893,,19980103-roben,271,68
894,,19980103-honch,271,27
895,,19980404-kotob,272,42
896,,19980404-koimu,272,37
897,,19980404-igago,272,29
898,,19980404-zoho,272,98
899,,19980404-shin,272,56
900,,19980509-igago,273,29
901,,19980905-danno,274,83
902,,19980905-sessh,274,75
903,,19980905-kinut,274,12
904,,19980905-shout,274,57
905,,19981101-kanad,275,63
906,,19981204-kanad,276,63
907,,20000722-uriko,277,9
908,,20000722-tokai,277,59
909,,20000722-kamak,277,11
910,,20000722-kinut,277,12
911,,20000722-kunik,277,13
912,,20001104-futat,278,18
913,,20001104-shinj,278,2
914,,20001205-hikos,279,78
915,,20001205-ninin,280,119
916,,20001205-heike,280,24
917,,20010407-kagam,281,30
918,,20010407-ashiy,281,15
919,,20010407-sessh,281,75
920,,20010407-yoshi,281,62
921,,20010721-oeyam,282,154
922,,20010721-nezum,282,103
923,,20010721-nichi,282,177
924,,20010721-kanji,282,31
925,,20010721-natsu,282,71
926,,19720926-keise,283,35
927,,19790414-kojo,87,140
928,,19790512-kojo,88,178
929,,1980spec-meido,284,7
936,,19880506-kojo,176,179
937,,19890403-kojo,184,180
938,,19960103-kojo,261,181
939,,19980509-kojo,273,182
940,,19980905-kojo,274,183
941,,19710912-sonez,285,3
942,,19700822-kanji,286,31
943,,19971204-kiich,270,36
