subject_id,image_id
19,11424
19,11425
19,11426
19,11427
40,11427
19,11428
40,11428
19,11429
19,11430
19,11431
19,11432
19,11433
19,11434
19,11435
19,11436
19,11437
19,11438
19,11439
19,11440
19,11441
54,11441
19,11442
19,11443
19,11444
19,11445
19,11446
19,11447
19,11448
19,11449
19,11450
54,11450
19,11451
19,11454
24,11457
24,11458
19,11459
19,11460
19,11461
19,11462
19,11463
19,11464
19,11468
19,11469
19,11470
19,11471
19,11474
40,11476
24,11476
24,11478
32,11479
32,11480
19,11481
54,11481
19,11482
19,11483
19,11484
19,11485
19,11487
19,11489
19,11490
19,11491
19,11492
19,11493
19,11494
19,11495
19,11496
19,11497
19,11498
19,11499
19,11500
19,11501
19,11503
19,11504
19,11505
19,11506
19,11507
19,11508
19,11509
19,11510
19,11511
19,11512
19,11513
19,11514
19,11517
19,11518
19,11519
73,11520
16,11523
40,11523
70,11523
19,11524
19,11525
19,11526
19,11527
19,11528
19,11529
19,11530
19,11531
19,11534
19,11535
19,11539
40,11541
70,11541
40,11546
19,11550
19,11551
19,11552
19,11555
19,11556
19,11557
19,11558
40,11560
54,11560
19,11561
19,11562
19,11563
19,11564
19,11566
19,11567
19,11568
19,11570
19,11571
19,11572
19,11573
19,11574
19,11575
19,11576
19,11577
19,11578
19,11579
19,11580
19,11581
40,11583
54,11583
40,11584
54,11584
40,11585
54,11585
40,11586
54,11586
32,11586
40,11587
54,11587
32,11587
32,11588
32,11589
32,11590
32,11591
19,11594
19,11597
19,11598
19,11599
19,11600
19,11601
19,11602
19,11603
19,11605
19,11606
19,11607
19,11608
