id,pscene_id,narrator_id,tayusub_id,tayu_description,sortorder
1757,840,57,0,"Tadashichi, a jester",6
1758,841,63,0,[Naka],1
1759,841,66,0,Oku [Part2],2
1760,842,29,0,,1
1761,843,1,0,,1
1762,844,31,0,,1
1763,845,34,0,,1
1764,846,63,0,,1
1765,847,6,0,,1
1766,847,2,0,,2
1767,848,33,0,,1
1768,848,29,0,,2
1769,848,56,0,,3
1770,848,57,0,,4
1771,848,59,0,,5
1772,849,33,0,,1
1773,849,29,0,,2
1774,849,56,0,,3
1775,849,57,0,,4
1776,849,59,0,,5
1777,850,9,0,Tanuki,1
1778,850,68,0,Yukionna,2
1779,850,53,0,Kamaitachi,3
1780,850,55,0,Kawataro,4
1781,850,58,0,Kamaitachi's retainer,5
1782,850,1,0,Kawauso,6
1783,851,101,0,,1
1784,851,59,0,,2
1785,851,73,0,,3
1786,851,58,0,,4
1787,851,57,0,,5
1788,852,5,0,Moronao,1
1789,852,54,0,Wakasanosuke,2
1790,852,35,0,Kaoyo,3
1791,853,53,0,,1
1792,854,5,0,,1
1793,855,68,0,,1
1794,856,1,0,,1
1795,857,29,0,,1
1796,858,31,0,,1
1797,859,58,0,,1
1798,860,55,0,,1
1799,861,9,0,,1
1800,862,63,0,,1
1801,863,66,0,,1
1802,864,6,0,Yuranosuke,1
1803,864,54,0,Rikiya,2
1804,864,63,0,Jutaro,3
1805,864,55,0,Kitahachi,4
1806,864,35,0,Yagoro,5
1807,864,56,0,Tea house maid,6
1808,864,68,,Okaru,7
1809,864,57,,Tea house maid,8
1810,864,5,,Tea house proprietor,9
1811,864,9,,Bannai,10
1812,864,1,,Kudayu,11
1813,864,34,,Heiemon,12
1814,865,33,0,Konami,1
1815,865,29,0,Tonase,2
1816,865,56,0,Tsure [narrative/assistant narrator],3
1817,865,57,0,Tsure [narrative/assistant narrator],4
1818,865,59,0,Tsure [narrative/assistant narrator],5
1819,865,101,0,Tsure [narrative/assistant narrator],6
1820,866,53,0,,1
1821,867,2,0,,1
1822,868,55,0,Yuranosuke,1
1823,868,35,0,Wakasanosuke,2
1824,868,73,0,,3
1825,869,54,55,,1
1826,871,73,0,Kuchi [Part 1],1
1827,871,68,29,Mae [Part 2],2
1828,871,29,68,Ato [Part 3],3
1829,872,63,0,Benkei,1
1830,872,53,0,Togashi,2
1831,872,5,0,Yoshitsune,3
1832,872,35,0,Saburo Ise,4
1833,872,56,0,Jiro Suruga,5
1834,872,59,0,Hachiro Kataoka,6
1835,872,101,,Kaison Hitachibo,7
1836,872,57,,Barrier Guards,8
1837,872,58,,Barrier Guards,9
1838,872,55,,Sachuta,10
1839,872,54,,Sachuta (Substitute),11
1840,870,1,0,Mae [Part 1],1
1841,870,9,0,Ato [Part 2],2
1842,873,101,0,,1
1843,873,58,0,,2
1844,873,59,0,,3
1845,873,73,0,,4
1846,873,57,0,,5
1847,873,56,0,,6
1848,873,35,,,7
1849,874,68,0,,1
1850,875,54,0,,1
1851,875,6,0,,2
1852,876,53,0,,1
1853,877,33,0,,1
1854,878,29,0,,1
1855,879,31,0,,1
1856,880,63,0,Matsuomaru,1
1857,880,53,0,Matsuomaru,2
1858,880,68,0,Sakuramaaru,3
1859,880,55,0,Sugiomaru,4
1860,880,29,0,"Shihei, Minister of the Left",5
1861,881,1,0,,1
1862,882,63,0,,1
1863,883,2,0,,1
1864,884,34,0,,1
1865,885,5,0,,1
1866,886,66,0,,1
1867,886,63,0,,2
1868,887,101,0,,1
1869,887,59,0,,2
1870,887,73,0,,3
1871,887,58,0,,4
1872,887,56,0,,5
1873,887,57,0,,6
1874,888,5,0,Yoshinaka,1
1875,888,55,0,Tomoe-Gozen,2
1876,888,56,0,Yamabuki-Gozen,3
1877,888,35,0,Ofude,4
1878,889,68,0,,1
1879,890,29,0,Yamabuki-Gozen,1
1880,890,54,0,Ofude,2
1881,890,57,0,Haito Kamada,3
1882,891,1,0,,1
1883,892,66,0,,1
1884,893,53,0,Naka [Part 1],1
1885,893,2,0,Kiri [Part 2],2
1886,894,34,0,,1
1887,895,35,0,,1
1888,896,63,0,,1
1889,897,33,0,,1
1890,898,31,0,,1
1891,899,68,0,,1
1892,900,6,0,,1
1893,901,53,0,,1
1894,901,34,0,,2
1895,902,55,0,,1
1896,903,63,0,,1
1897,904,33,0,,1
1898,904,2,0,,2
1899,905,5,0,Ushiwakamaru,1
1900,905,54,0,Benkei,2
1901,905,56,0,Tsure [narrative/assistant narrator],3
1902,905,58,0,Tsure [narrative/assistant narrator],4
1903,905,73,0,Tsure [narrative/assistant narrator],5
1904,905,101,0,Tsure [narrative/assistant narrator],6
1905,906,68,0,,1
1906,907,31,0,,1
1907,908,9,0,,1
1908,908,66,0,,2
1909,909,6,0,,1
1910,910,29,0,Wakana,1
1911,910,1,0,Tsuna,2
1912,910,35,0,Ugenta,3
1913,910,57,0,Sagenta,4
1914,910,59,0,Tsure [narrative/assistant narrator],5
1915,911,63,0,,1
1916,912,34,0,Mae [Part 1],1
1917,912,1,0,Ato [Part 2],2
1918,913,55,0,Naka [Part 1],1
1919,913,33,0,Mae [Part 2],2
1920,913,2,0,Kiri [Part 3],3
1921,914,68,0,,1
1922,914,5,0,,2
1923,914,57,0,,3
1924,914,59,0,,4
1925,915,29,0,Shizuka-Gozen,1
1926,915,53,0,"Tadanobu Sato, in fact Fox Tadanobu",2
1927,915,35,0,,3
1928,915,58,0,,4
1929,915,101,0,,5
1930,916,68,0,Naka [Part 1],1
1931,916,31,0,Kiri [Part 2],2
1932,917,6,0,,1
1933,918,66,0,,1
1934,919,9,0,,1
1935,919,54,0,,2
1936,919,56,0,,3
1937,919,73,0,,4
1938,920,56,0,,1
1939,920,1,0,,2
1940,921,35,0,,1
1941,922,9,0,,1
1942,923,34,0,,1
1943,924,2,0,,1
1944,925,53,0,,1
1945,925,33,0,,2
1946,926,68,0,Sankatsu,1
1947,926,54,0,Hanshichi,2
1948,926,101,0,Tsure [narrative/assistant narrator],3
1949,926,62,0,Tsure [narrative/assistant narrator],4
1950,926,36,0,Tsure [narrative/assistant narrator],5
1951,927,55,0,Tsure [narrative/assistant narrator],1
1952,927,57,0,Tsure [narrative/assistant narrator],2
1953,927,54,0,Asojiro Miyagi,3
1954,927,73,0,Priest Gesshin So Gesshin,4
1955,927,58,0,Miyuki,5
1956,927,59,0,Asaka,6
1957,928,63,0,,1
1958,929,5,0,,1
1959,930,31,0,,1
1960,931,55,0,,1
1961,931,6,0,,2
1962,932,66,0,,1
1963,933,29,0,,1
1964,934,58,0,,1
1965,935,56,0,Part 1,1
1966,935,53,0,Part 2,2
1967,935,66,0,Part 3,3
1968,936,34,0,Masakiyo,1
1969,936,68,0,Hinaginu,2
1970,936,55,0,Gemba,3
1971,936,59,0,Kyuma Hayabuchi,4
1972,937,63,0,,1
1973,938,2,0,,1
1974,939,33,0,,1
1975,940,54,0,Kiyomori,1
1976,940,35,0,Minazuru,2
1977,940,57,0,Tankai,3
1978,940,73,0,Hiromori,4
1979,941,6,0,,1
1980,942,9,0,,1
1981,943,1,0,,1
1982,944,31,0,,1
1983,945,29,0,Ohan,1
1984,945,5,0,Choemon,2
1985,945,101,0,Tsure [narrative/assistant narrator],3
1986,945,62,0,Tsure [narrative/assistant narrator],4
1987,945,36,0,Tsure [narrative/assistant narrator],5
1988,946,58,0,,1
1989,947,56,0,,1
1990,947,53,0,,2
1991,947,66,0,,3
1992,948,1,0,Masakiyo Kato,1
1993,948,68,0,Hinaginu,2
1994,948,55,0,Gemba Marikawa,3
1995,948,59,0,Kyuma Hayabuchi,4
1996,949,63,0,,1
1997,950,2,0,,1
1998,951,68,0,,1
1999,951,57,0,Tsure [narrative/assistant narrator],2
2000,951,62,0,Tsure [narrative/assistant narrator],3
2001,952,9,0,Sukehei,1
2002,952,54,0,Shizuma,2
2003,952,35,0,Osode,3
2004,952,73,0,Tsure [narrative/assistant narrator],4
2005,952,36,0,Tsure [narrative/assistant narrator],5
2006,952,101,0,Tsure [narrative/assistant narrator],6
2007,953,53,0,,1
2008,954,5,0,,1
2009,954,33,0,,2
2010,954,31,0,,3
2011,954,34,0,,4
2012,955,29,0,,1
2013,955,6,0,,2
2014,956,56,57,Part 1,1
2015,956,53,0,Part 2,2
2016,957,29,68,,1
2017,958,9,0,,1
2018,959,63,0,Omiwa,1
2019,959,54,55,Motome,2
2020,959,35,0,Tachibana,3
2021,959,57,56,Tsure [narrative/assistant narrator],4
2022,959,59,101,Tsure [narrative/assistant narrator],5
2023,959,62,36,Tsure [narrative/assistant narrator],6
2024,960,58,73,Part 1,1
2025,960,1,0,Part 2,2
2026,961,5,0,,1
2027,962,68,29,,1
2028,963,54,55,,1
2029,964,66,6,,1
2030,965,55,0,"Atsumori, in fact Kojiro",1
2031,965,57,0,Hirayama,2
2032,965,73,0,Kumagai,3
2033,965,101,0,Soldiers,4
2034,965,36,0,Soldiers,5
2035,966,5,0,,1
2036,967,34,0,,1
2037,968,66,0,,1
2038,969,1,0,,1
2039,970,2,0,,1
2040,970,6,0,,2
2041,971,9,0,,1
2042,971,33,0,,2
2043,972,63,0,Masaoka,1
2044,972,9,0,Yashio,2
2045,972,68,0,Okinoi,3
2046,972,35,0,Tsurukiyo,4
2047,972,56,0,Senmatsu,5
2048,972,57,0,Komaki,6
2049,972,58,,Secret agent,7
2050,972,59,,Maid,8
2051,973,31,0,,1
2052,973,68,0,,2
2053,974,53,0,Feudal Lord,1
2054,974,54,0,Retainer,2
2055,974,29,0,Monkey trainer,3
2056,974,59,0,Tsure [narrative/assistant narrator],4
2057,974,62,0,Tsure [narrative/assistant narrator],5
2058,975,36,0,,1
2059,975,62,0,,2
2060,975,101,0,,3
2061,975,58,0,,4
2062,975,73,0,,5
2063,975,57,0,,6
2064,975,56,,,7
2065,976,55,0,,1
2066,977,35,0,,1
2067,979,9,0,,1
2068,979,56,0,Tsure [narrative/assistant narrator],2
2069,980,53,0,,1
2070,981,57,0,Part 1,1
2071,981,1,0,Part 2,2
2072,982,68,0,,1
2073,983,2,0,,1
2074,984,34,0,,1
2075,985,54,0,Part 1,1
2076,985,66,0,Part 2,2
2077,986,29,0,Part 1,1
2078,986,31,0,Part 2,2
