scene_id,scene_code,scene_order,label_ja,label_ja_sort,label_eng,label_ka,play_id,authority_control
102,Hadesugata-03,108,Michiyuki shimoyo no sennichi,Michiyuki shimoyo no sennichi [Hadesugata],The Double Suicide,道行霜夜の千日,82,July 1974 Program
103,Hana-01,113,Shidōji,Shidoji [Hana],The Shido Temple,志渡寺,23,February 1974 Program
104,Hanakurabe-01,109,Manzai,Manzai [Hanakurabe],Street Entertainers,万歳,64,January 1994 Program
105,Hanakurabe-02,110,Ama,Ama [Hanakurabe],The Fisherwoman,海女,64,January 1994 Program
106,Hanakurabe-03,111,Sekidera Komachi,Sekidera Komachi [Hanakurabe],Komachi in Her Old Age,関寺小町,64,January 1994 Program
107,Hanakurabe-04,112,Sagimusume ,Sagimusume  [Hanakurabe],Heron Girl,鷺娘,64,January 1994 Program
108,Hatsuse-01,114,Hatsuse mōde,Hatsuse mode [Hatsuse],Hatsuse mode,初瀬詣,133,May 1978 Shinobukai Program; no English translation available
109,Heike-01,115,Rokuhara,Rokuhara [Heike],The Heike Clan Headquarters,六波羅,24,February 1986 Program
110,Heike-02,116,Kikaigashima,Kikaigashima [Heike],Kikai Island,鬼界ヶ島,24,"Hironaga, Shūzabuō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976; Bunraku February 1986 Performance Program; The Art of Kabuki: Famous Plays in Performance, translated, with commentary, by Samuel L. Leiter (Berkeley: University of California Press, "
111,Heike-03,117,Funaji no michiyuki yori shikina no ura,Funaji no michiyuki yori shikina no ura [Heike],The Shikina Bay,舟路の道行より敷名の浦,24,February 1986 Program
112,Hibariyama H-01,118,Chūjōhime yukizeme,Chujohime yukizeme [Hibariyama H],The Torture of Chujohime in the Snow,中将姫雪責,65,January 1992 Program
114,Hibariyama K-01,120,Chūjōhime yukizeme,Chujohime yukizeme [Hibariyama K],The Torture in the Snow,中将姫雪責,89,February 1968 Program
115,Hibariyama K-02,121,Hibariyama,Hibariyama [Hibariyama K],Mount Hibari,ひばり山古跡松,89,February 1968 Program
116,Hidakagawa-01,122,Manago Shōji yakata,Manago Shoji yakata [Hidakagawa],Manago Village Headman's House,真那古庄司館,25,May 1980 Program
117,Hidakagawa-02,123,Watashiba,Watashiba [Hidakagawa],The Ferry,渡し場,25,May 1980 Program
118,Hikosan-01,124,Sumiyoshi hamabe,Sumiyoshi hamabe [Hikosan],Sumiyoshi Beach,住吉浜辺,78,September 1975 Program
119,Hikosan-02,125,Hikosan Gongen shazen,Hikosan Gongen shazen [Hikosan],In Front of the Hikosan Gongen Shrine,彦山権現社前,78,September 1975 Program
120,Hikosan-03,126,Kōri Otonari yakata,Kori Otonari yakata [Hikosan],Otonari's Mansion,郡音成館,78,September 1975 Program
121,Hikosan-04,127,Yamaguchi Hachiman,Yamaguchi Hachiman [Hikosan],The Yamaguchi Hachiman Shrine,山口八幡,78,September 1975 Program
122,Hikosan-05,128,Ichimisai yashiki,Ichimisai yashiki [Hikosan],Ichimisai's Mansion,一味斎屋敷,78,September 1975 Program
123,Hikosan-06,129,Suma no ura,Suma no ura  [Hikosan],Suma Beach,須磨の浦,78,September 1975 Program
124,Hikosan-07,130,Hyōtan dana,Hyotan dana [Hikosan],The Gourd Trellis,瓢箪棚,78,September 1975 Program
125,Hikosan-08,131,Sugisaka bosho,Sugisaka bosho [Hikosan],The Sugisaka Cemetery,杉坂墓所,78,September 1975 Program
126,Hikosan-09,132,Keyamura Rokusuke sumika,Keyamura Rokusuke sumika [Hikosan],Rokusuke's House,毛谷村六助住家,78,September 1975 Program
127,Hikosan-10,133,Tatsunami yakata katakiuchi,Tatsunami yakata katakiuchi [Hikosan],The Revenge at the Tatsunami Mansion,立浪館仇討,78,September 1975 Program
128,Hirakana-01,134,Itodo no Myōjin,Itodo no Myojin [Hirakana],The Itodo Myojin Shrine,射手明神,26,November 1988 Program
129,Hirakana-02,135,Yoshinaka yakata,Yoshinaka yakata [Hirakana],Yoshinaka's Mansion,義仲館,26,November 1988 Program
130,Hirakana-03,136,Katsurano sato,Katsurano sato [Hirakana],The Toothbrush Maker's House,楊枝屋,26,November 1988 Program
131,Hirakana-05,138,Ōtsu yadoya,Otsu yadoya [Hirakana],The Inn at Otsu,大津宿屋,26,November 1988 Program
132,Hirakana-06,139,Sasabiki,Sasabiki [Hirakana],The Improvised Bamboo Hearse,笹引,26,November 1988 Program
133,Hirakana-07,140,Matsuemon uchi,Matsuemon uchi [Hirakana],The Matsuemon's House,松右衛門内,26,November 1988 Program
134,Hirakana-09,142,Kajiwara yakata,Kajiwara yakata [Hirakana],Kajiwara's Mansion,梶原館,26,November 1988 Program
135,Hirakana-10,143,Senjin mondō,Senjin mondo [Hirakana],The Argument on the Uji River Crossing,先陣問答,26,November 1988 Program
136,Hirakana-11,144,Genta kandō,Genta kando [Hirakana],Disinheritance of Genda,源太勘当,26,November 1988 Program; Bunka dejitaru raiburarii
137,Hirakana-12,145,Tsuji Hōin,Tsuji Hoin [Hirakana],The Fortune Teller,辻法印,26,November 1988 Program
138,Hirakana-13,146,Kanzaki ageya,Kanzaki ageya [Hirakana],The Tea House at Kanzaki,神崎揚屋,26,November 1988 Program
139,Hirakana-14,147,Okuzashiki,Okuzashiki [Hirakana],The Innermost Room,奥座敷,26,November 1988 Program
140,Hiyoshimaru-01,148,Komakiyama jōchū,Komakiyama jochu [Hiyoshimaru],The Komakiyama Castle,駒木山城中,120,
141,Honcho-07,155,Takeda Shingen yakata,Takeda Shingen yakata [Honcho],Shingen's Mansion,武田信玄館,27,December 1983 Program
142,Honcho-08,156,Murakami Yoshikiyo jōshi,Murakami Yoshikiyo joshi [Honcho],Messenger Yoshikiyo's Visit,村上義清上使,27,December 1983 Program
143,Honcho-09,157,Katsuyori seppuku,Katsuyori seppuku [Honcho],Katsuyori Kills Himself,勝頼切腹,27,December 1983 Program
144,Honcho-11,159,Michiyuki niai no myōtogan,Michiyuki niai no myotogan [Honcho],The Drug Peddlers' Journey,道行似合の女夫丸,27,December 1983 Program
145,Honcho-13,161,Kagekatsu jōshi (See also Kenshin yakata),Kagekatsu josh [Honcho],Messenger Kagekatsu's Visit (See also Kenshin's Mansion),景勝上使 (See also 謙信館）,27,December 1983 Program
146,Honcho-15,162,Teppō watashi (See also Kenshin yakata),Teppo watashi  [Honcho],The Delivery of the Rifle (See also Kenshin's Mansion),鉄砲渡し (See also 謙信館),27,December 1983 Program
147,Honcho-14,163,Jusshukō,Jusshuko [Honcho],The Incense,十種香,27,December 1983 Program
148,Honcho-16,164,Okuniwa kitsunebi,Okuniwa kitsunebi [Honcho],The Fox Fire,奥庭狐火,27,December 1983 Program
149,Honcho-18,166,Dōsan saigo,Dosan saigo [Honcho],The Death of Dosan,道三最期,27,December 1983 Program
150,Horikawa-01,167,Naruyama Chūdayū uchi,Naruyama Chudayu uchi [Horikawa],Chudayu Naruyama's House,成山忠太夫内,28,February 1983 Program
151,Horikawa-02,168,Ogura Hikokurō uchi,Ogura Hikokuro uchi [Horikawa],Hikokuro Ogura's House,小倉彦九郎内,28,February 1983 Program
152,Horikawa-03,169,Kyō horikawa megatakiuchi,Kyo horikawa megatakiuchi [Horikawa],The Revenge at Horikawa,京堀川妻敵討,28,February 1983 Program
153,Ichinotani-03,172,Jimmon,Jimmon [Ichinotani],The Camp Gate,陣門,72,February 1975 Program
154,Ichinotani-04,173,Sumanoura,Sumanoura [Ichinotani],The Suma Beach,須磨浦,72,February 1975 Program
155,Ichinotani-05,174,Kumiuchi,Kumiuchi [Ichinotani],The Duel,組打,72,February 1975 Program
156,Ichinotani-08,177,Wakigahara hōbiki,Wakigahara hobiki [Ichinotani],Drawing Lots at Wakigahara,脇ヶ浜宝引,72,February 1975 Program
157,Ichinotani-09,178,Kumagai zakura,Kumagai zakura [Ichinotani],Kumagai's Cheery Tree,熊谷桜,72,February 1975 Program
158,Ichinotani-10,179,Kumagai jinya (See also Kumagai monogatari and Kubi jikken),Kumagai jinya (See also Kumagai monogatari and Kubi jikken) [Ichinotani],Kumagai's Camp (See also Kumagai's Explanation and The Head Identification),熊谷陣屋 (See also 熊谷物語 and 首実検),72,February 1975 Program
159,Igagoe-02,184,Wada Yukie yashiki,Wada Yukie yashiki [Igagoe],The House of Yukie Wada,和田行家屋敷,29,April 1992 Program
160,Igagoe-04,186,Koriyama miyai,Koriyama miyai [Igagoe],The Hachiman Shrine in Koriyama,郡山宮居,29,May 1986 Program
161,Igagoe-05,187,Karaki Masaemon yashiki,Karaki Masaemon yashiki [Igagoe],The House of Karaki Masaemon,唐木政右衛門屋敷,29,April 1992 Program
162,Igagoe-06,188,Kondake ōhiroma,Kondake ohiroma [Igagoe],The Grand Hall in Lord Konda's Mansion,誉田家大広間,29,April 1992 Program
163,Igagoe-07,189,Numazu,Numazu [Igagoe],The Town of Numazu,沼津,29,April 1992 Program
164,Igagoe-08,190,Fujikawa shinseki hikinuki dangouri,Fujikawa shinseki hikinuki dangouri [Igagoe],The New Barrier at Fujikawa with Insertion of the Scene of Dumpling Peddlers,富士川新関 引抜き 団子売,29,April 1992 Program
165,Igagoe-10,192,Takeyabu,Takeyabu [Igagoe],The Bamboo Groove,竹藪,29,April 1992 Program
166,Igagoe-11,193,Okazaki,Okazaki [Igagoe],The Town of Okazaki,岡崎,29,April 1992 Program
167,Igagoe-12,194,Fushimi Hokkokuya,Fushimi Hokkokuya [Igagoe],"The Hokkokuya Inn at Fushimi,",伏見北国屋,29,April 1992 Program
168,Igagoe-13,195,Iga Ueno adauchi,Iga Ueno adauchi [Igagoe],The Revenge at Iga-Ueno,伊賀上野仇討,29,May 1986 Program
169,Ikudama-01,197,Tenma Shimizuya,Tenma Shimizuya [Ikudama],The Simizuya Tea House at Temma,天満清水屋,8,February 1993 Program
170,Ikudama-02,198,Yamatobashi demise,Yamatobashi demise [Ikudama],The Branch Store at Yamatobashi,大和橋出見世,8,February 1993 Program
171,Ikudama-03,199,Kaheiji Osaga michiyuki,Kaheiji Osaga michiyuki [Ikudama],The Suicide Trip of Kaheiji and Osaga,嘉平次おさが道行,8,February 1993 Program
172,Imose-01,200,Komatsubara,Komatsubara [Imose],The Pine Grove,小松原,79,April 1986 Program
173,Imose-03,202,Sarusawaike,Sarusawaike [Imose],Sarusawa Pond,猿沢池,79,May 1977 Program
174,Imose-06,205,Shikagoroshi,Shikagoroshi [Imose],The Deer Killing,鹿殺し,79,May 1977 Program
175,Imose-07,206,Kakegoi,Kakegoi [Imose],The Bill-Collecting,掛乞,79,April 1986 Program
176,Imose-08,207,Manzai,Manzai [Imose],The Comical Ballad,万才,79,April 1986 Program
177,Imose-09,208,Shibaroku sumika,Shibaroku sumika [Imose],Shibaroku's House,芝六住家,79,May 1977 Program; April 1986 Program
178,Imose-04,203,Dazai yakata,Dazai yakata [Imose],Sadaka's (Dazai) Mansion,太宰館,79,May 1977 Program; April 1986 Program
179,Imose-05,204,Imoyama Seyama,Imoyama Seyama [Imose],Imoyama and Seyama Mansions,妹山背山,79,May 1977 Program
180,Imose-10,209,Idogae,Idogae [Imose],The Well-Cleaning,井戸替,79,April 1986 Program
181,Imose-11,210,Sugisakaya,Sugisakaya [Imose],The Sake Shop,杉酒屋,79,April 1986 Program
182,Imose-12,211,Michiyuki koi no odamaki,Michiyuki koi no odamaki [Imose],The Strands of Love,道行恋の小田巻,79,April 1986 Program
183,Imose-13,212,Fukashichi jōshi,Fukashichi joshi [Imose],Fukashichi's Visit,鱶七上使,79,April 1986 Program
184,Imose-14,213,Himemodori,Himemodori [Imose],Tachibana's Return,姫戻り,79,April 1986 Program
185,Imose-15,214,Kinden,Kinden [Imose],The Glittering Mansion,金殿,79,April 1986 Program
186,Ise-01,216,Furuichi aburaya,Furuichi aburaya [Ise],The Aburaya Tea House,古市油屋,104,May 1980 Program
187,Ise-02,217,Okuniwa jūningiri,Okuniwa juningiri [Ise],The Bloodthirsty Sword,奥庭十人斬り,104,May 1980 Program; May 1973 Program
188,Kagamiyama-01,222,Chikumagawa,Chikumagawa [Kagamiyama],Chikuma River,筑摩川,30,October 1968 Program; May 1982 Program
189,Kagamiyama-02,223,Matasuke sumika,Matasuke sumika [Kagamiyama],Matasuke's House,又助住家,30,October 1968 Program; May 1982 Program
